# det_alpha	det_beta	CI Coeffs
[2, 3]	[3, 5]	0.000100439643
[2, 3]	[4, 5]	-0.000000000133
[2, 3]	[0, 6]	0.000000000000
[2, 3]	[1, 6]	0.000000000000
[2, 3]	[2, 6]	0.000034937557
[2, 3]	[3, 6]	0.000051523797
[2, 3]	[4, 6]	-0.000000000001
[2, 3]	[5, 6]	-0.000004980137
[2, 3]	[0, 7]	0.000000000000
[2, 3]	[1, 7]	0.000000000000
[2, 3]	[2, 7]	-0.000112575212
[2, 3]	[3, 7]	0.000098476885
[2, 3]	[4, 7]	0.000000000953
[2, 3]	[5, 7]	-0.000081044173
[2, 3]	[6, 7]	-0.000036691290
[2, 3]	[0, 8]	0.000000000300
[2, 3]	[1, 8]	-0.000000000083
[2, 3]	[2, 8]	0.000000000000
[2, 3]	[3, 8]	0.000000000000
[2, 3]	[4, 8]	0.000000000000
[2, 3]	[5, 8]	0.000000000000
[2, 3]	[6, 8]	0.000000000000
[2, 3]	[7, 8]	0.000000000000
[0, 4]	[0, 1]	0.000000000000
[0, 4]	[0, 2]	0.000000045247
[0, 4]	[1, 2]	-0.000000002111
[0, 4]	[0, 3]	-0.000000020970
[0, 4]	[1, 3]	0.000000001498
[0, 4]	[2, 3]	0.000000000000
[0, 4]	[0, 4]	0.160647642929
[0, 4]	[1, 4]	-0.001164163763
[0, 4]	[2, 4]	0.000000000000
[0, 4]	[3, 4]	0.000000000000
[0, 4]	[0, 5]	-0.021598461419
[0, 4]	[1, 5]	0.000920319649
[0, 4]	[2, 5]	0.000000000000
[0, 4]	[3, 5]	0.000000000000
[0, 4]	[4, 5]	0.000000000000
[0, 4]	[0, 6]	0.047706398121
[0, 4]	[1, 6]	-0.002032821111
[0, 4]	[2, 6]	0.000000000000
[0, 4]	[3, 6]	0.000000000000
[0, 4]	[4, 6]	0.000000000000
[0, 4]	[5, 6]	0.000000000000
[0, 4]	[0, 7]	-0.002931571691
[0, 4]	[1, 7]	0.000124915328
[0, 4]	[2, 7]	0.000000000000
[0, 4]	[3, 7]	0.000000000000
[0, 4]	[4, 7]	0.000000000000
[0, 4]	[5, 7]	0.000000000000
[0, 4]	[6, 7]	0.000000000000
[0, 4]	[0, 8]	0.000000000000
[0, 4]	[1, 8]	0.000000000000
[0, 4]	[2, 8]	0.000000001495
[0, 4]	[3, 8]	-0.000000001060
[0, 4]	[4, 8]	-0.000141683071
[0, 4]	[5, 8]	0.000227397355
[0, 4]	[6, 8]	-0.000502265656
[0, 4]	[7, 8]	0.000030864748
[1, 4]	[0, 1]	0.000000000000
[1, 4]	[0, 2]	-0.000000001589
[1, 4]	[1, 2]	0.000000003287
[1, 4]	[0, 3]	0.000000001181
[1, 4]	[1, 3]	-0.000000002200
[1, 4]	[2, 3]	0.000000000000
[1, 4]	[0, 4]	-0.001164163763
[1, 4]	[1, 4]	-0.000059371992
[1, 4]	[2, 4]	0.000000000000
[1, 4]	[3, 4]	0.000000000000
[1, 4]	[0, 5]	0.000496048622
[1, 4]	[1, 5]	-0.000306503549
[1, 4]	[2, 5]	0.000000000000
[1, 4]	[3, 5]	0.000000000000
[1, 4]	[4, 5]	0.000000000000
[1, 4]	[0, 6]	-0.001095680912
[1, 4]	[1, 6]	0.000677009790
[1, 4]	[2, 6]	0.000000000000
[1, 4]	[3, 6]	0.000000000000
[1, 4]	[4, 6]	0.000000000000
[1, 4]	[5, 6]	0.000000000000
[1, 4]	[0, 7]	0.000067328847
[1, 4]	[1, 7]	-0.000041601869
[1, 4]	[2, 7]	0.000000000000
[1, 4]	[3, 7]	0.000000000000
[1, 4]	[4, 7]	0.000000000000
[1, 4]	[5, 7]	0.000000000000
[1, 4]	[6, 7]	0.000000000000
[1, 4]	[0, 8]	0.000000000000
[1, 4]	[1, 8]	0.000000000000
[1, 4]	[2, 8]	-0.000000002645
[1, 4]	[3, 8]	0.000000001766
[1, 4]	[4, 8]	0.000299114095
[1, 4]	[5, 8]	-0.000033918854
[1, 4]	[6, 8]	0.000074916231
[1, 4]	[7, 8]	-0.000004603825
[2, 4]	[0, 1]	0.000000000485
[2, 4]	[0, 2]	0.000000000000
[2, 4]	[1, 2]	0.000000000000
[2, 4]	[0, 3]	0.000000000000
[2, 4]	[1, 3]	0.000000000000
[2, 4]	[2, 3]	-0.000000000229
[2, 4]	[0, 4]	0.000000000000
[2, 4]	[1, 4]	0.000000000000
[2, 4]	[2, 4]	-0.000097996227
[2, 4]	[3, 4]	0.000000000411
[2, 4]	[0, 5]	0.000000000000
[2, 4]	[1, 5]	0.000000000000
[2, 4]	[2, 5]	0.000061686594
[2, 4]	[3, 5]	-0.000000000041
[2, 4]	[4, 5]	0.000100436856
[2, 4]	[0, 6]	0.000000000000
[2, 4]	[1, 6]	0.000000000000
[2, 4]	[2, 6]	-0.000136254754
[2, 4]	[3, 6]	0.000000001057
[2, 4]	[4, 6]	0.000051523200
[2, 4]	[5, 6]	-0.000066958180
[2, 4]	[0, 7]	0.000000000000
[2, 4]	[1, 7]	0.000000000000
[2, 4]	[2, 7]	0.000008372297
[2, 4]	[3, 7]	0.000000000297
[2, 4]	[4, 7]	0.000098473119
[2, 4]	[5, 7]	-0.000020780748
[2, 4]	[6, 7]	0.000054988629
[2, 4]	[0, 8]	0.000000000884
[2, 4]	[1, 8]	-0.000000000258
[2, 4]	[2, 8]	0.000000000000
[2, 4]	[3, 8]	0.000000000000
[2, 4]	[4, 8]	0.000000000000
[2, 4]	[5, 8]	0.000000000000
[2, 4]	[6, 8]	0.000000000000
[2, 4]	[7, 8]	0.000000000000
[3, 4]	[0, 1]	-0.000000000293
[3, 4]	[0, 2]	0.000000000000
[3, 4]	[1, 2]	0.000000000000
[3, 4]	[0, 3]	0.000000000000
[3, 4]	[1, 3]	0.000000000000
[3, 4]	[2, 3]	-0.000000000341
[3, 4]	[0, 4]	0.000000000000
[3, 4]	[1, 4]	0.000000000000
[3, 4]	[2, 4]	0.000000000411
[3, 4]	[3, 4]	-0.000097995738
[3, 4]	[0, 5]	0.000000000000
[3, 4]	[1, 5]	0.000000000000
[3, 4]	[2, 5]	0.000000000092
[3, 4]	[3, 5]	0.000061686324
[3, 4]	[4, 5]	-0.000092447012
[3, 4]	[0, 6]	0.000000000000
[3, 4]	[1, 6]	0.000000000000
[3, 4]	[2, 6]	0.000000001055
[3, 4]	[3, 6]	-0.000136253564
[3, 4]	[4, 6]	-0.000034937059
[3, 4]	[5, 6]	0.000058572809
[3, 4]	[0, 7]	0.000000000000
[3, 4]	[1, 7]	0.000000000000
[3, 4]	[2, 7]	-0.000000000647
[3, 4]	[3, 7]	0.000008373151
[3, 4]	[4, 7]	0.000112570326
[3, 4]	[5, 7]	-0.000030646147
[3, 4]	[6, 7]	0.000059740926
[3, 4]	[0, 8]	-0.000000000538
[3, 4]	[1, 8]	0.000000000158
[3, 4]	[2, 8]	0.000000000000
[3, 4]	[3, 8]	0.000000000000
[3, 4]	[4, 8]	0.000000000000
[3, 4]	[5, 8]	0.000000000000
[3, 4]	[6, 8]	0.000000000000
[3, 4]	[7, 8]	0.000000000000
[0, 5]	[0, 1]	0.000000000000
[0, 5]	[0, 2]	0.035167598001
[0, 5]	[1, 2]	-0.000807674714
[0, 5]	[0, 3]	-0.032369891927
[0, 5]	[1, 3]	0.000743424300
[0, 5]	[2, 3]	0.000000000000
[0, 5]	[0, 4]	-0.021598461419
[0, 5]	[1, 4]	0.000496048622
[0, 5]	[2, 4]	0.000000000000
[0, 5]	[3, 4]	0.000000000000
[0, 5]	[0, 5]	0.019368583034
[0, 5]	[1, 5]	-0.002901029653
[0, 5]	[2, 5]	0.000000000000
[0, 5]	[3, 5]	0.000000000000
[0, 5]	[4, 5]	0.000000000000
[0, 5]	[0, 6]	-0.000000068299
[0, 5]	[1, 6]	0.000000001140
[0, 5]	[2, 6]	0.000000000000
[0, 5]	[3, 6]	0.000000000000
[0, 5]	[4, 6]	0.000000000000
[0, 5]	[5, 6]	0.000000000000
[0, 5]	[0, 7]	-0.000000017704
[0, 5]	[1, 7]	0.000000000219
[0, 5]	[2, 7]	0.000000000000
[0, 5]	[3, 7]	0.000000000000
[0, 5]	[4, 7]	0.000000000000
[0, 5]	[5, 7]	0.000000000000
[0, 5]	[6, 7]	0.000000000000
[0, 5]	[0, 8]	0.000000000000
[0, 5]	[1, 8]	0.000000000000
[0, 5]	[2, 8]	-0.000190549800
[0, 5]	[3, 8]	0.000175390320
[0, 5]	[4, 8]	0.000117025872
[0, 5]	[5, 8]	-0.000333071562
[0, 5]	[6, 8]	-0.000000001242
[0, 5]	[7, 8]	-0.000000000301
[1, 5]	[0, 1]	0.000000000000
[1, 5]	[0, 2]	-0.001498472201
[1, 5]	[1, 2]	0.000499055149
[1, 5]	[0, 3]	0.001379270558
[1, 5]	[1, 3]	-0.000459355123
[1, 5]	[2, 3]	0.000000000000
[1, 5]	[0, 4]	0.000920319649
[1, 5]	[1, 4]	-0.000306503549
[1, 5]	[2, 4]	0.000000000000
[1, 5]	[3, 4]	0.000000000000
[1, 5]	[0, 5]	-0.002901029653
[1, 5]	[1, 5]	0.002228046608
[1, 5]	[2, 5]	0.000000000000
[1, 5]	[3, 5]	0.000000000000
[1, 5]	[4, 5]	0.000000000000
